nucleus_id,Mean_normalized_w1405-0001,Mean_normalized_w1405-0002,Mean_normalized_w1405-0003,Mean_normalized_w1405-0004,Median_normalized_w1405-0001,Median_normalized_w1405-0002,Median_normalized_w1405-0003,Median_normalized_w1405-0004,Area_w1405-0001,Area_w1405-0002,Area_w1405-0003,Area_w1405-0004,total_intensity_w1405-0001,total_intensity_w1405-0002,total_intensity_w1405-0003,total_intensity_w1405-0004,Skew_w1405-0001,Skew_w1405-0002,Skew_w1405-0003,Skew_w1405-0004,Kurt_w1405-0001,Kurt_w1405-0002,Kurt_w1405-0003,Kurt_w1405-0004
MAX_IF43b-1_001_thumb0001-0183,30.3090,293.7030,8.8220,141.6820,28.0000,305.0000,9.0000,131.0000,41507.0000,41507.0000,41507.0000,41507.0000,1258035.6630,12190730.4210,366174.7540,5880794.7740,1.2270,-0.0370,4.6440,4.7160,1.8790,-0.6030,35.2840,27.4300
MAX_IF43b-1_001_thumb0002-0419,36.1820,270.2110,16.4330,144.0970,36.0000,279.0000,15.0000,135.0000,32140.0000,32140.0000,32140.0000,32140.0000,1162889.4800,8684581.5400,528156.6200,4631277.5800,0.6650,0.0440,4.7630,4.3460,1.4710,-0.7510,40.4000,24.5790
MAX_IF43b-1_001_thumb0003-0504,120.1130,59.9370,16.1880,177.3090,139.0000,63.0000,17.0000,151.0000,7325.0000,7325.0000,7325.0000,7325.0000,879827.7250,439038.5250,118577.1000,1298788.4250,-0.5690,0.5120,0.6510,1.4000,-1.0470,0.0230,-0.4850,1.2180
MAX_IF43b-1_001_thumb0004-0580,104.4190,53.3190,14.2700,171.8230,119.0000,58.0000,15.0000,145.0000,3739.0000,3739.0000,3739.0000,3739.0000,390422.6410,199359.7410,53355.5300,642446.1970,-0.3390,0.3970,0.9570,1.3130,-1.3090,0.1520,0.7750,0.6250
MAX_IF43b-1_001_thumb0005-0711,34.3150,213.0660,9.7300,134.5150,33.0000,216.0000,9.0000,126.0000,21031.0000,21031.0000,21031.0000,21031.0000,721678.7650,4480991.0460,204631.6300,2828984.9650,0.4300,0.1890,3.5220,4.9530,-0.3410,-0.8000,16.0650,31.9850
MAX_IF43b-1_001_thumb0006-0823,35.6150,218.4920,6.3490,139.6600,35.0000,223.0000,7.0000,131.0000,34899.0000,34899.0000,34899.0000,34899.0000,1242927.8850,7625152.3080,221573.7510,4873994.3400,0.5780,0.1240,3.8810,3.3360,0.4170,-0.4440,23.2070,13.2740
MAX_IF43b-1_001_thumb0007-0840,34.8230,168.7190,9.7900,133.2910,34.0000,164.0000,8.0000,126.0000,15853.0000,15853.0000,15853.0000,15853.0000,552049.0190,2674702.3070,155200.8700,2113062.2230,0.8080,0.4450,3.2750,4.4470,0.8040,-0.4270,11.9530,24.1860
MAX_IF43b-1_001_thumb0008-1029,33.8520,166.5130,11.3500,135.9270,33.0000,169.0000,10.0000,128.0000,30245.0000,30245.0000,30245.0000,30245.0000,1023853.7400,5036185.6850,343280.7500,4111112.1150,0.5630,0.1430,3.5270,4.5370,0.8000,-0.5870,14.8130,25.3640
MAX_IF43b-1_001_thumb0009-1066,38.5690,183.3520,12.3630,142.0780,39.0000,194.0000,12.0000,131.0000,25392.0000,25392.0000,25392.0000,25392.0000,979344.0480,4655673.9840,313921.2960,3607644.5760,-0.1630,-0.1030,1.8900,4.3130,0.0670,-0.9620,4.9200,24.8770
MAX_IF43b-1_001_thumb0010-1093,30.9900,221.5380,4.1400,140.1440,29.0000,220.0000,6.0000,130.0000,29763.0000,29763.0000,29763.0000,29763.0000,922355.3700,6593635.4940,123218.8200,4171105.8720,0.9470,0.2340,1.7970,5.5750,1.0320,-0.4590,10.6150,41.2280
MAX_IF43b-1_001_thumb0011-1098,68.8130,33.4950,11.2010,134.5350,66.0000,36.0000,12.0000,130.0000,7208.0000,7208.0000,7208.0000,7208.0000,496004.1040,241431.9600,80736.8080,969728.2800,0.1200,0.6050,2.1590,2.2950,-0.9660,-0.3940,11.9270,5.9710
MAX_IF43b-1_001_thumb0012-1166,36.6000,149.2760,11.0880,139.9030,30.0000,149.0000,12.0000,130.0000,27387.0000,27387.0000,27387.0000,27387.0000,1002364.2000,4088221.8120,303667.0560,3831523.4610,1.7960,0.2870,2.1800,4.3610,2.8650,-0.8500,11.0140,24.5210
MAX_IF43b-1_001_thumb0013-1182,33.9720,172.0520,15.3080,137.4570,33.0000,181.0000,13.0000,130.0000,12288.0000,12288.0000,12288.0000,12288.0000,417447.9360,2114174.9760,188104.7040,1689071.6160,0.9500,-0.0270,1.9920,4.6020,1.5870,-0.5710,5.3330,27.4020
MAX_IF43b-1_001_thumb0014-1289,27.7940,139.8780,11.5110,139.3840,27.0000,149.0000,11.0000,130.0000,21562.0000,21562.0000,21562.0000,21562.0000,599294.2280,3016049.4360,248200.1820,3005397.8080,0.7140,-0.0290,1.7070,4.2740,0.3600,-0.8610,4.2930,23.3670
MAX_IF43b-1_001_thumb0015-1289,23.6200,165.3060,8.9320,139.3860,23.0000,164.0000,8.0000,129.0000,24441.0000,24441.0000,24441.0000,24441.0000,577296.4200,4040243.9460,218307.0120,3406733.2260,0.6690,0.1160,2.8810,3.8330,0.0570,-0.7590,10.7130,17.5690
MAX_IF43b-1_001_thumb0016-1267,29.2580,181.8670,10.9760,146.4740,29.0000,187.0000,11.0000,134.0000,10464.0000,10464.0000,10464.0000,10464.0000,306155.7120,1903056.2880,114852.8640,1532703.9360,0.2080,0.0260,2.4680,3.8210,-0.2190,-0.7820,7.9370,19.2830
MAX_IF43b-1_001_thumb0017-1339,19.3620,125.9970,4.4010,125.9960,19.0000,127.0000,5.0000,124.0000,6502.0000,6502.0000,6502.0000,6502.0000,125891.7240,819232.4940,28615.3020,819225.9920,0.4800,-0.0200,1.9260,3.4310,-0.2100,-0.9080,4.7900,14.8860
MAX_IF43b-1_001_thumb0018-1357,20.6230,138.7970,4.2190,127.2820,20.0000,146.0000,5.0000,123.0000,6380.0000,6380.0000,6380.0000,6380.0000,131574.7400,885524.8600,26917.2200,812059.1600,0.4280,-0.2360,1.6400,3.1750,-0.7620,-0.4110,2.7170,11.5860
MAX_IF43b-1_001_thumb0019-1373,17.7200,147.4960,3.9720,127.1090,17.0000,159.0000,5.0000,124.0000,6443.0000,6443.0000,6443.0000,6443.0000,114169.9600,950316.7280,25591.5960,818963.2870,0.6130,-0.4290,1.8350,2.7790,0.0260,-0.2980,5.7820,8.3230
